code,area,total population density,job_density2018,Total Area (Hectares),Dwellings per hectare2019,GDP2018,Total resident population numbers2018,hourse price mean2017
E09000001,City of London,27.63809524,110.11,315,20.7,"71,696","8,706",948773
E09000002,Barking and Dagenham,56.08412698,0.49,"3,780",20.1,"4,060","211,998",301323.75
E09000003,Barnet,45.20345821,0.67,"8,675",17.6,"10,362","392,140",628345.5
E09000004,Bexley,38.45979157,0.56,"6,429",15.3,"6,848","247,258",350774.5
E09000005,Brent,76.51977793,0.71,"4,323",27.9,"9,843","330,795",545036.5
E09000006,Bromley,22.05395324,0.62,"15,013",9.3,"9,310","331,096",493286.5
E09000007,Camden,120.3423589,2.17,"2,179",48.5,"35,406","262,226",1083513
E09000008,Croydon,44.54867052,0.6,"8,650",18.6,"10,188","385,346",389564
E09000009,Ealing,61.57400072,0.66,"5,554",24.4,"10,396","341,982",569145
E09000010,Enfield,40.61666667,0.62,"8,220",15.4,"8,657","333,869",462209.75
E09000011,Greenwich,56.73790642,0.55,"5,044",22.7,"6,299","286,186",458806.25
E09000012,Hackney,146.8057743,0.76,"1,905",58.6,"8,962","279,665",604829.25
E09000013,Hammersmith and Fulham,108.1201166,1.18,"1,715",52,"11,437","185,426",952146.75
E09000014,Haringey,91.42702703,0.48,"2,960",37,"4,767","270,624",655879
E09000015,Harrow,49.57372176,0.57,"5,046",18.2,"5,992","250,149",521848.75
E09000016,Havering,22.52402586,0.68,"11,446",9,"6,497","257,810",376719
E09000017,Hillingdon,26.34606742,1.06,"11,570",9.6,"15,805","304,824",448971.25
E09000018,Hounslow,47.84979678,1,"5,659",18,"20,362","270,782",488930.75
E09000019,Islington,160.9300135,1.42,"1,486",69.8,"19,818","239,142",774433.5
E09000020,Kensington and Chelsea,126.1688207,1.55,"1,238",70.8,"10,928","156,197",2058172.5
E09000021,Kingston upon Thames,47.09339775,0.83,"3,726",18.2,"5,673","175,470",563204
E09000022,Lambeth,119.6025688,0.75,"2,725",51.9,"13,320","325,917",602491.25
E09000023,Lewisham,85.93884485,0.4,"3,532",36.3,"4,544","303,536",458413.5
E09000024,Merton,54.80754918,0.79,"3,762",22.5,"6,330","206,186",616804.25
E09000025,Newham,91.2639357,0.56,"3,857",30.3,"7,436","352,005",400652.5
E09000026,Redbridge,53.8373494,0.47,"5,644",18.5,"5,901","303,858",441154.75
E09000027,Richmond upon Thames,33.50987066,0.89,"5,876",14.6,"8,588","196,904",801282.25
E09000028,Southwark,106.0702106,1.42,"2,991",45.5,"20,901","317,256",655697.5
E09000029,Sutton,46.64196123,0.6,"4,385",19.1,"4,856","204,525",396161.5
E09000030,Tower Hamlets,147.2219648,1.43,"2,158",56.3,"36,078","317,705",539610.25
E09000031,Waltham Forest,71.29605772,0.47,"3,881",26.7,"5,127","276,700",450264
E09000032,Wandsworth,92.69562748,0.62,"3,522",42,"8,732","326,474",809952.5
E09000033,Westminster,115.8983205,4.28,"2,203",56.9,"72,025","255,324",1657798.75
